ID,turn,coil thick,coil width,coil legth,lenth oof wire,core width,core height,gap length,gap number,width,height,kengthh,core weight,total weighht,磁路長(mm),LRコア間隔(mm),サイドコア間隔(mm),ｺｲﾙ内側幅(mm),ｺｲﾙ内側高(mm),最大電流,最小電流,最大B,最小B,鉄損(w),直流銅損(w),交流銅損(w),tota loss,peak currneet,min ccurrent,peak flux,min flux,peak core loss,peak cu loss,Ac culoss,peak loss,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,360,380,400
2007781,44,2.25,9,57,7849.6,24,36,1.4,8,50.425,59.725,111.22,1.574082111,2.993544903,254.4382237,26.3,63.22,29.6,41.6,104,4,0.512601128,1.97E-02,21.67161935,30.38572876,8.683621615,60.74096972,376,157,1.581957196,0.773925765,56.53088369,605.2241124,41.64751763,703.4025138,1.87E-04,1.87E-04,1.87E-04,1.87E-04,1.87E-04,1.87E-04,1.87E-04,1.87E-04,1.87E-04,1.87E-04,1.86E-04,1.79E-04,1.58E-04,1.35E-04,1.26E-04,1.17E-04,1.04E-04,9.99E-05,8.98E-05,7.71E-05,6.31E-05
2805513,44,2,9,51,8289.6,22,43,1.2,8,48.425,66.725,101.22,1.605264787,2.937735091,236.1550384,26.3,57.22,27.6,48.6,93,15,0.534715304,8.61E-02,18.4255646,36.10008526,6.276660914,60.80231078,390,166,1.690084409,0.95452332,48.02031085,719.0428847,51.7649142,818.8281098,2.39E-04,2.39E-04,2.39E-04,2.39E-04,2.39E-04,2.39E-04,2.39E-04,2.39E-04,2.39E-04,2.38E-04,2.12E-04,1.78E-04,1.56E-04,1.45E-04,1.29E-04,1.12E-04,1.03E-04,9.37E-05,7.62E-05,5.07E-05,0
1876842,46,2,11,53.125,8298.4,22,35,1.4,8,52.425,62.725,103.345,1.368032618,2.998336282,248.4050384,30.3,59.345,27.6,40.6,106,2,0.546240692,1.03E-02,22.14443738,29.56778842,9.139380416,60.85160621,397,153,1.656764512,0.788522544,56.51057421,588.9323453,50.30715167,695.7500712,1.82E-04,1.83E-04,1.83E-04,1.83E-04,1.83E-04,1.83E-04,1.83E-04,1.83E-04,1.83E-04,1.83E-04,1.81E-04,1.63E-04,1.39E-04,1.28E-04,1.16E-04,1.09E-04,9.84E-05,8.86E-05,7.62E-05,6.25E-05,4.21E-05
2249133,44,2,9,51,8113.6,25,38,1.2,8,51.425,61.725,107.22,1.679114383,2.983294447,245.5798163,26.3,57.22,30.6,43.6,93,15,0.534676826,8.61E-02,19.27113601,35.33362909,6.143398474,60.74816357,391,166,1.686525874,0.954458704,49.76670557,703.7765814,51.11925505,804.662542,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.38E-04,2.12E-04,1.77E-04,1.55E-04,1.44E-04,1.27E-04,1.10E-04,1.01E-04,9.18E-05,7.44E-05,4.93E-05,4.93E-05
1992434,48,2.5,8,68.25,8179.2,22,36,1.4,8,46.425,57.725,118.47,1.515379724,2.976184844,266.6550384,24.3,74.47,27.6,41.6,100,8,0.537659695,4.29E-02,21.0127729,32.05737739,7.754162157,60.82431244,392,159,1.664786506,0.854994679,54.65367665,638.5200741,49.73602426,742.909775,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.03E-04,1.95E-04,1.71E-04,1.44E-04,1.34E-04,1.26E-04,1.12E-04,9.75E-05,8.97E-05,8.17E-05,6.66E-05,4.45E-05
2103283,44,2.5,9,63,7673.6,21,37,1.4,8,47.425,60.725,111.22,1.430567884,2.972385964,257.0134457,26.3,69.22,26.6,42.6,110,-2,0.542175938,-9.83E-03,24.51820465,26.73399095,9.583652906,60.8358485,400,148,1.627228246,0.729538307,63.06159138,532.4886586,48.51724284,644.0674928,1.68E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.67E-04,1.61E-04,1.41E-04,1.22E-04,1.13E-04,1.05E-04,9.39E-05,8.94E-05,8.03E-05,6.89E-05,5.63E-05
2776868,44,2.5,9,63,7937.6,18,43,1.4,8,44.425,66.725,105.22,1.370406568,2.965268848,247.5886678,26.3,69.22,23.6,48.6,110,-2,0.542209285,-9.84E-03,23.48998452,27.65373835,9.913365735,61.05708861,399,148,1.630100143,0.729580676,60.78121599,550.8082225,49.78889945,661.3783379,1.67E-04,1.68E-04,1.68E-04,1.68E-04,1.68E-04,1.68E-04,1.68E-04,1.68E-04,1.68E-04,1.68E-04,1.67E-04,1.61E-04,1.42E-04,1.21E-04,1.14E-04,1.06E-04,9.48E-05,9.07E-05,8.16E-05,7.02E-05,5.76E-05
2677171,46,2,10,53.125,8574.4,20,42,1.4,8,48.425,67.725,99.345,1.427701531,2.959089371,238.1218531,28.3,59.345,25.6,47.6,101,7,0.520501272,3.60E-02,19.01201717,33.60631561,8.486094101,61.10442688,374,160,1.620993933,0.824658301,49.83940959,669.3718852,43.98247685,763.1937716,1.99E-04,1.99E-04,1.99E-04,1.99E-04,1.99E-04,1.99E-04,1.99E-04,1.99E-04,1.99E-04,1.99E-04,1.98E-04,1.79E-04,1.52E-04,1.41E-04,1.28E-04,1.21E-04,1.10E-04,9.88E-05,8.53E-05,7.01E-05,4.75E-05
1765267,44,2.25,10,57,7761.6,23,34,1.4,8,51.425,59.725,109.22,1.429717905,2.989217385,255.296631,28.3,63.22,28.6,39.6,110,-2,0.542182012,-9.83E-03,24.50418283,27.04057342,9.693557182,61.23831342,398,149,1.624731656,0.734476657,62.01095198,538.5951799,47.91216828,648.5183001,1.69E-04,1.70E-04,1.70E-04,1.70E-04,1.70E-04,1.70E-04,1.70E-04,1.70E-04,1.70E-04,1.70E-04,1.68E-04,1.62E-04,1.43E-04,1.23E-04,1.14E-04,1.06E-04,9.44E-05,9.03E-05,8.11E-05,6.96E-05,5.69E-05
2220173,48,2.25,9,61.75,8467.2,21,38,1.4,8,47.425,61.725,109.97,1.454289331,2.985434275,254.5134457,26.3,67.97,26.6,43.6,100,8,0.537702373,4.29E-02,20.16836644,32.77645262,7.928094851,60.87291392,387,160,1.663497505,0.860435934,51.60532664,652.8426423,48.26639881,752.7143677,2.05E-04,2.06E-04,2.06E-04,2.06E-04,2.06E-04,2.06E-04,2.06E-04,2.06E-04,2.06E-04,2.05E-04,1.97E-04,1.73E-04,1.47E-04,1.35E-04,1.28E-04,1.15E-04,1.01E-04,9.29E-05,8.47E-05,6.93E-05,4.65E-05
2103997,44,2.25,10,57,7849.6,21,37,1.4,8,49.425,62.725,105.22,1.384010044,2.961190924,249.0134457,28.3,63.22,26.6,42.6,110,-2,0.542204244,-9.84E-03,23.72272165,27.34715588,9.803461459,60.87333899,398,148,1.627717859,0.729574271,61.06934827,544.7017012,48.84537159,654.616421,1.68E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.67E-04,1.61E-04,1.42E-04,1.21E-04,1.14E-04,1.07E-04,9.49E-05,9.08E-05,8.17E-05,7.03E-05,5.76E-05
2111242,48,2,10,55.25,8659.2,22,37,1.4,8,50.425,62.725,105.47,1.447730125,2.994263245,248.6550384,28.3,61.47,27.6,42.6,99,9,0.532343913,4.83E-02,19.24449348,33.93867888,7.856175666,61.03934802,380,162,1.65578056,0.871224296,49.09418924,675.9919094,46.0934435,771.1795422,2.10E-04,2.10E-04,2.10E-04,2.10E-04,2.10E-04,2.10E-04,2.10E-04,2.10E-04,2.10E-04,2.09E-04,2.01E-04,1.77E-04,1.51E-04,1.39E-04,1.28E-04,1.18E-04,1.04E-04,9.60E-05,7.18E-05,7.18E-05,4.84E-05
2453521,46,2,10,53.125,8482.4,21,40,1.4,8,49.425,65.725,101.345,1.447467175,2.962423815,241.2634457,28.3,59.345,26.6,45.6,101,7,0.520490504,3.60E-02,19.27454063,33.24573283,8.395041589,60.91531505,374,160,1.619501316,0.82464265,50.3472007,662.1897834,43.51056186,756.047546,1.99E-04,1.99E-04,1.99E-04,1.99E-04,1.99E-04,1.99E-04,1.99E-04,1.99E-04,1.99E-04,1.99E-04,1.98E-04,1.79E-04,1.52E-04,1.41E-04,1.27E-04,1.20E-04,1.09E-04,9.82E-05,8.46E-05,6.95E-05,4.70E-05
2330123,50,2,10,57.375,9020,20,39,1.4,8,48.425,64.725,103.595,1.37538155,2.98635355,246.6218531,28.3,63.595,25.6,44.6,97,11,0.543333354,6.15E-02,18.1224594,35.3527905,7.472257617,60.94750751,394,162,1.69584525,0.907543897,47.07491799,704.158239,54.37896078,805.6121178,2.18E-04,2.19E-04,2.19E-04,2.19E-04,2.19E-04,2.19E-04,2.19E-04,2.19E-04,2.19E-04,2.17E-04,2.09E-04,1.75E-04,1.53E-04,1.39E-04,1.28E-04,1.18E-04,1.01E-04,9.16E-05,7.51E-05,5.06E-05,0
2329493,44,2.5,9,63,7761.6,20,39,1.4,8,46.425,62.725,109.22,1.4177375,2.97723698,253.8718531,26.3,69.22,25.6,44.6,110,-2,0.542187053,-9.83E-03,24.29929775,27.04057342,9.693557182,61.03342835,398,148,1.625399815,0.72955243,62.2462769,538.5951799,48.29777773,649.1392345,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.68E-04,1.62E-04,1.42E-04,1.22E-04,1.14E-04,1.06E-04,9.44E-05,9.03E-05,8.11E-05,6.97E-05,5.70E-05
3026573,44,2,9,51,8377.6,21,45,1.2,8,47.425,68.725,99.22,1.58133154,2.927946964,233.0134457,26.3,57.22,26.6,50.6,93,15,0.534728131,8.61E-02,18.15150987,36.48331334,6.343292134,60.97811534,390,166,1.69173359,0.954544869,47.50806518,726.6760363,52.31443559,826.4985371,2.38E-04,2.39E-04,2.39E-04,2.39E-04,2.39E-04,2.39E-04,2.39E-04,2.39E-04,2.39E-04,2.37E-04,2.12E-04,1.78E-04,1.57E-04,1.46E-04,1.29E-04,1.13E-04,1.04E-04,9.44E-05,7.68E-05,5.12E-05,0
1764463,48,2.25,9,61.75,8275.2,23,34,1.4,8,49.425,57.725,113.97,1.461932395,2.958357499,260.796631,26.3,67.97,28.6,39.6,101,7,0.543059007,3.75E-02,21.13270354,32.03322241,8.088864689,61.25479063,395,159,1.670625192,0.855024768,53.46468091,638.0389542,50.98657851,742.4902137,2.01E-04,2.02E-04,2.02E-04,2.02E-04,2.02E-04,2.02E-04,2.02E-04,2.02E-04,2.02E-04,2.00E-04,1.93E-04,1.69E-04,1.43E-04,1.32E-04,1.25E-04,1.11E-04,9.75E-05,8.97E-05,8.18E-05,6.68E-05,4.47E-05
1999768,46,2.5,8,65.625,7930.4,23,36,1.4,8,47.425,57.725,117.845,1.571184869,2.987554309,264.546631,24.3,71.845,28.6,41.6,102,6,0.525565217,3.08E-02,21.78416589,31.08223612,8.186267948,61.05266995,383,159,1.624406186,0.81937217,56.02016887,619.0971728,44.56968105,719.6870227,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.96E-04,1.95E-04,1.75E-04,1.51E-04,1.35E-04,1.21E-04,1.14E-04,1.03E-04,9.41E-05,8.65E-05,6.43E-05,6.43E-05
2132263,44,2,9,51,8025.6,25,37,1.2,8,51.425,60.725,107.22,1.634927163,2.924962107,245.5798163,26.3,57.22,30.6,42.6,94,14,0.540428313,8.03E-02,19.70405965,34.95040101,6.392391589,61.04685225,400,164,1.697141339,0.943032383,51.33397514,696.1434298,55.6297878,803.1071927,2.33E-04,2.34E-04,2.34E-04,2.34E-04,2.34E-04,2.34E-04,2.34E-04,2.34E-04,2.34E-04,2.32E-04,2.06E-04,1.72E-04,1.50E-04,1.40E-04,1.23E-04,1.07E-04,9.84E-05,8.94E-05,7.24E-05,4.80E-05,4.80E-05
2219469,48,2.5,8,68.25,8275.2,21,38,1.4,8,45.425,59.725,116.47,1.508082511,2.986033231,263.5134457,24.3,74.47,26.6,43.6,100,8,0.537670737,4.29E-02,20.91231001,32.43363769,7.84517345,61.19112115,389,160,1.662446524,0.86038946,53.38398079,646.0144412,48.60689283,748.0053148,2.05E-04,2.06E-04,2.06E-04,2.06E-04,2.06E-04,2.06E-04,2.06E-04,2.06E-04,2.06E-04,2.05E-04,1.96E-04,1.72E-04,1.46E-04,1.35E-04,1.27E-04,1.13E-04,9.89E-05,9.10E-05,8.29E-05,6.76E-05,4.53E-05
1993857,48,2,10,55.25,8563.2,22,36,1.4,8,50.425,61.725,105.47,1.408602284,2.937989804,248.6550384,28.3,61.47,27.6,41.6,100,8,0.537722967,4.29E-02,19.53602867,33.56241858,8.118207329,61.21665458,388,160,1.667064999,0.860466188,50.41349936,668.4975424,49.86021855,768.7712603,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.03E-04,1.95E-04,1.73E-04,1.47E-04,1.35E-04,1.24E-04,1.15E-04,1.01E-04,9.34E-05,6.99E-05,6.99E-05,4.71E-05
2007077,44,2.5,8,63,7673.6,24,36,1.4,8,48.425,57.725,117.22,1.625852991,2.996357951,262.4382237,24.3,69.22,29.6,41.6,104,4,0.512574034,1.97E-02,22.38223616,30.07573982,8.595033099,61.05300908,378,157,1.582300842,0.77388799,58.44381612,599.0497409,41.97900116,699.4725582,1.87E-04,1.87E-04,1.87E-04,1.87E-04,1.87E-04,1.87E-04,1.87E-04,1.87E-04,1.87E-04,1.87E-04,1.86E-04,1.79E-04,1.57E-04,1.36E-04,1.24E-04,1.16E-04,1.07E-04,9.84E-05,8.82E-05,7.56E-05,6.17E-05
2330207,44,2.25,10,57,7937.6,20,39,1.4,8,48.425,64.725,103.22,1.3709999,2.96586218,245.8718531,28.3,63.22,25.6,44.6,110,-2,0.54221536,-9.84E-03,23.50067823,27.65373835,9.913365735,61.06778231,396,148,1.625852843,0.729588394,60.24886748,550.8082225,48.60583914,659.6629291,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.68E-04,1.62E-04,1.43E-04,1.22E-04,1.15E-04,1.07E-04,9.58E-05,9.17E-05,8.26E-05,7.11E-05,5.83E-05
2554028,44,2.5,9,63,7849.6,19,41,1.4,8,45.425,64.725,107.22,1.397589606,2.974770486,250.7302604,26.3,69.22,24.6,46.6,110,-2,0.542198169,-9.84E-03,23.95494949,27.34715588,9.803461459,61.10556683,398,148,1.626891636,0.729566553,61.5590723,544.7017012,48.84537159,655.1061451,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.68E-04,1.61E-04,1.42E-04,1.22E-04,1.14E-04,1.07E-04,9.49E-05,9.07E-05,8.16E-05,7.01E-05,5.74E-05
2554742,44,2.25,10,57,8025.6,19,41,1.4,8,47.425,66.725,101.22,1.350911926,2.963455606,242.7302604,28.3,63.22,24.6,46.6,110,-2,0.542226476,-9.84E-03,23.15728874,27.96032081,10.02327001,61.14087957,396,148,1.62738233,0.729602518,59.56185527,556.9147438,49.14470654,665.6213056,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.69E-04,1.68E-04,1.62E-04,1.43E-04,1.23E-04,1.15E-04,1.08E-04,9.63E-05,9.21E-05,8.30E-05,7.15E-05,5.87E-05
2777582,44,2.25,10,57,8113.6,18,43,1.4,8,46.425,68.725,99.22,1.324028488,2.954253568,239.5886678,28.3,63.22,23.6,48.6,110,-2,0.542237593,-9.84E-03,22.69737888,28.26690328,10.13317429,61.09745644,397,148,1.630668247,0.729616643,58.79186957,563.0212651,50.08505573,671.8981904,1.68E-04,1.68E-04,1.68E-04,1.68E-04,1.68E-04,1.68E-04,1.68E-04,1.68E-04,1.68E-04,1.68E-04,1.67E-04,1.61E-04,1.43E-04,1.22E-04,1.15E-04,1.08E-04,9.62E-05,9.21E-05,8.31E-05,7.16E-05,5.89E-05
2474378,44,2,9,51,8201.6,24,40,1.2,8,50.425,63.725,105.22,1.674199964,2.992525148,242.4382237,26.3,57.22,29.6,45.6,93,15,0.534689651,8.61E-02,19.21542788,35.71685718,6.210029694,61.14231475,387,166,1.683315575,0.954480237,49.1961242,711.4097331,49.85273838,810.4585956,2.42E-04,2.43E-04,2.43E-04,2.43E-04,2.43E-04,2.43E-04,2.43E-04,2.43E-04,2.43E-04,2.41E-04,2.14E-04,1.79E-04,1.57E-04,1.46E-04,1.29E-04,1.12E-04,1.03E-04,9.35E-05,7.59E-05,5.04E-05,0
1653927,48,2,10,55.25,8467.2,24,33,1.4,8,52.425,58.725,109.47,1.445874642,2.958116562,254.9382237,28.3,61.47,29.6,38.6,100,8,0.53770088,4.29E-02,20.05157619,33.18615828,8.027196036,61.26493051,390,160,1.666972716,0.86043374,51.73999625,661.0031753,50.16997523,762.9131468,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.03E-04,1.95E-04,1.72E-04,1.46E-04,1.34E-04,1.27E-04,1.14E-04,9.99E-05,9.21E-05,8.40E-05,6.87E-05,4.61E-05
